id,front,back,repetition,interval,easiness,last_review,next_review,lapses
1,I am a teacher.,Eu sou professor.,3,29,2.80,2025-05-26,2025-06-24,0
2,She has a new car.,Ela tem um carro novo.,3,29,2.80,2025-05-26,2025-06-24,0
3,They do their homework every day.,Eles fazem a lição de casa todos os dias.,3,29,2.80,2025-05-26,2025-06-24,0
4,We go to the gym on Mondays.,Nós vamos à academia às segundas-feiras.,3,29,2.80,2025-05-26,2025-06-24,0
5,He says he is tired.,Ele diz que está cansado.,3,29,2.80,2025-05-26,2025-06-24,0
6,I get up early every morning.,Eu levanto cedo todas as manhãs.,3,29,2.70,2025-05-26,2025-06-24,0
7,She makes delicious cakes.,Ela faz bolos deliciosos.,3,16,2.80,2025-05-23,2025-06-08,0
8,We know the answer to the question.,Nós sabemos a resposta para a pergunta.,3,10,2.60,2025-05-23,2025-06-02,0
9,He thinks about his future often.,Ele pensa frequentemente sobre o futuro dele.,3,9,2.48,2025-05-26,2025-06-04,0
10,I take the bus to work.,Eu pego o ônibus para o trabalho.,3,9,2.60,2025-05-23,2025-06-01,0
11,We see the mountains from our window.,Nós vemos as montanhas da nossa janela.,3,10,2.70,2025-05-23,2025-06-02,0
12,She comes to the office by bike.,Ela vem para o escritório de bicicleta.,3,6,2.60,2025-05-23,2025-05-29,0
13,They want to learn English.,Eles querem aprender inglês.,3,6,2.60,2025-05-23,2025-05-29,0
14,He uses his computer for work.,Ele usa o computador dele para o trabalho.,3,15,2.80,2025-05-26,2025-06-10,0
15,I find this book very interesting.,Eu acho este livro muito interessante.,3,15,2.70,2025-05-26,2025-06-10,0
16,She gives her friend a gift.,Ela dá um presente para a amiga dela.,3,15,2.80,2025-05-26,2025-06-10,0
17,We tell stories around the campfire.,Nós contamos histórias ao redor da fogueira.,3,6,2.36,2025-05-23,2025-05-29,0
18,He works at a bank.,Ele trabalha em um banco.,3,15,2.80,2025-05-26,2025-06-10,0
19,I feel happy today.,Eu me sinto feliz hoje.,3,15,2.80,2025-05-26,2025-06-10,0
20,They try to solve the problem together.,Eles tentam resolver o problema juntos.,3,15,2.80,2025-05-26,2025-06-10,0
21,I have to get up early tomorrow for work.,Tenho que acordar cedo amanhã para o trabalho.,3,14,2.70,2025-05-26,2025-06-09,0
22,She gets up early every day to go for a run,Ela acorda cedo todos os dias para correr,2,2,2.16,2025-05-28,2025-05-30,0
23,"If you get up early, you can watch the sunrise.","Se você acordar cedo, pode ver o nascer do sol.",3,6,2.36,2025-05-23,2025-05-29,0
24,The students always do their homework on time.,Os alunos sempre fazem seus deveres de casa no horário,3,28,2.46,2025-05-26,2025-06-23,0
25,They do their best to help others,Eles fazem o melhor para ajudar os outros,3,29,2.70,2025-05-26,2025-06-24,0
26,My kids do their chores before dinner,Meus filhos fazem suas tarefas antes do jantar,3,8,2.28,2025-05-28,2025-06-05,0
27,He walks to school every morning.,Ele anda até a escola todas as manhãs.,3,9,2.48,2025-05-28,2025-06-06,0
28,We study English together on weekends.,Nós estudamos inglês juntos nos finais de semana.,3,7,1.92,2025-05-28,2025-06-04,0
29,She writes articles for a magazine.,Ela escreve artigos para uma revista.,3,8,2.22,2025-05-23,2025-05-31,0
